ticket_id,tenant_id,opened_by_user_id,created_at,priority,channel,subject,body,resolved_at,csat_score
TK300000,T1031,UUNWCGBSVK,2025-06-07 21:25:42,high,email,Webhook retries too slow,"webhooks crawling, retries hours apart, downstream SLA toast pls advise quick",2025-06-10 00:23:49.166557966,4.0
TK300001,T1022,UZQA1OXC0V,2024-11-26 16:13:10,medium,email,SSO not working for new hires,"onboarding blocked, sso error pops after creds, urgent fix pls, region EU, mostly on Android13",2024-11-27 07:27:59.977484360,4.2
TK300002,T1016,UH4VSK23AF,2025-10-05 10:05:56,high,email,OCR results are inconsistent,"accuracy (running v4.0.0) tanked on PDFs, esp multi-page ones, any workaround?",2025-10-08 20:02:40.320650590,3.4
TK300003,T1039,UXDTUMW7HU,2024-11-16 05:02:14,medium,portal,SSO not working for new hires,"login bombs for fresh accou (running v4.1.2)nts, maybe SCIM sync lag?, mostly on Win10 pls advise quick",2024-11-18 04:09:06.292392624,3.7
TK300004,T1017,UTP3174GU6,2025-04-19 01:14:19,medium,email,QnA responses irrelevant,"bot answers outdated stuff, pricing info wrong, region US, mostly on Windows 11",2025-04-21 16:49:26.598469224,5.0
TK300005,T1008,UKVR0TMTOC,2025-01-16 10:04:31,medium,portal,Mobile app crashes offline,"crash loop in airplane mode, logs show w (running v3.9.5)eird stacktrace",2025-01-18 09:14:02.441737528,4.4
TK300006,T1037,UD0XQTQV8E,2024-11-30 16:26:09,medium,email,Export to CSV missing columns,"exports incomplete since last push, need cost_center back pls advise quick",2024-12-02 09:41:57.426512875,5.0
TK300007,T1005,UFZZ5T6V8V,2025-08-07 15:28:26,low,portal,Audit trail gaps on weekends,"weekend logs miss (running v3.2.1)ing, risk for EU region, mostly on Win10 pls advise quick",2025-08-09 07:17:03.738647482,4.2
TK300008,T1025,UMLZ6IOSTU,2025-10-29 12:06:56,medium,email,Anomaly alerts too noisy,"alert storm every morning, mos (running v4.1.2)tly false positives, region LATAM pls advise quick",2025-10-30 15:28:15.971396824,4.1
TK300009,T1007,UNWF222GTL,2025-01-03 01:10:48,low,phone,Audit trail gaps on weekends,"trail holes after midnight ops, scary for audits, mostly on Android13 pls advise quick",2025-01-03 14:26:26.467794679,4.2
TK300010,T1015,U6YRGC5FJ2,2025-08-12 18:54:47,medium,email,OCR results are inconsistent,"scanned docs look messy, tables broken, numbers missing, fe (running v4.1.2)els worse after last update",2025-08-14 07:11:43.457114697,4.3
TK300011,T1026,U67Y9PPPCG,2025-04-18 06:19:25,high,email,Mobile app crashes offline,"field reps stuck, app dies when offline mode kicks in, region LATAM",2025-04-19 22:32:32.532995576,3.9
TK300012,T1026,UI0E0VGNXB,2025-10-21 08:44:31,medium,teams,Audit trail gaps on weekends,"weekend logs missing, risk for EU region",2025-10-21 19:11:12.925867882,4.7
TK300013,T1012,UD70FE07S3,2025-11-06 18:33:54,medium,teams,Export to CSV missing columns,"downloaded report missing key cols, broke our pipeline, mostly on iOS17 pls advise quick",2025-11-08 01:40:42.240626842,4.9
TK300014,T1007,UJLVY6L1XX,2025-09-16 01:11:06,medium,portal,Export to CSV missing columns,"csv export skips cost cen (running v4.1.2)ter and project fields, finance mad, region EU",2025-09-17 16:28:40.991756163,3.0
TK300015,T1013,UR1SPPN74P,2025-04-06 17:54:20,low,email,SSO not working for new hires,"login bombs for fre (running v4.1.2)sh accounts, maybe SCIM sync lag? pls advise quick",2025-04-08 19:03:06.676297284,4.6
TK300016,T1028,USGT6LKWKN,2025-08-20 17:59:36,medium,email,Export to CSV missing columns,"downloaded report missing (running v4.1.2) key cols, broke our pipeline, region US, mostly on Windows 11",2025-08-21 07:25:05.939380273,4.8
TK300017,T1018,UMTB6T9BY8,2025-02-23 06:31:41,low,slack,Mobile app crashes offline,"crash loop i (running v4.1.2)n airplane mode, logs show weird stacktrace, region US, mostly on macOS13",2025-02-24 14:14:12.333379058,3.8
TK300018,T1015,U7MNCTICEA,2025-10-14 22:55:10,low,portal,Export to CSV missing columns,"downloaded report missing key cols, broke  (running v4.1.2)our pipeline",2025-10-15 23:20:19.040227920,4.0
TK300019,T1025,UJZTO7D835,2025-07-02 15:15:03,medium,portal,Export to CSV missing columns,"downloaded report missing key cols, br (running v3.2.1)oke our pipeline, region EU",2025-07-03 15:53:11.261386731,4.5
TK300020,T1034,UNF74T60PL,2025-10-13 15:33:05,low,phone,Audit trail gaps on weekends,"audit blank for satu (running v3.9.5)rday edits, compliance breathing down, region APAC, mostly on Win10",2025-10-15 16:54:47.937097155,3.8
TK300021,T1026,UCZAFR0RWM,2025-03-07 04:20:16,medium,phone,Mobile app crashes offline,"field reps (running v4.1.2) stuck, app dies when offline mode kicks in, region APAC, mostly on iOS17",2025-03-09 19:37:14.732434681,3.3
TK300022,T1009,ULWVV59HOT,2025-04-29 10:23:10,medium,phone,QnA responses irrelevant,"responses off-topic, customers confused big time, region APAC",2025-05-01 06:18:53.749373173,5.0
TK300023,T1036,URVXQ51WHA,2025-09-18 12:25:45,high,slack,SSO not working for new hires,"new folks can't log in, sso handshake fai (running v3.2.1)ls, okta config seems fine, region US",2025-09-21 17:06:40.046184340,3.6
TK300024,T1001,UR94SZ2KUU,2025-08-07 16:40:37,high,phone,QnA responses irrelevant,"bot answers o (running v3.9.5)utdated stuff, pricing info wrong",2025-08-10 05:52:24.732239186,4.2
TK300025,T1027,UBFA37DL9F,2025-05-27 05:28:17,medium,phone,Mobile app crashes offline,"offline sync triggers crash, started afte (running v4.1.2)r v4 rollout, region EU, mostly on Win10 pls advise quick",2025-05-27 23:34:26.057132090,3.7
TK300026,T1010,UHHIZEBG9K,2025-08-27 09:39:05,urgent,portal,Mobile app crashes offline,"field reps stuck, app dies when offline mode kicks in, region APAC, mostly on iOS17",2025-08-30 23:17:18.932163255,4.1
TK300027,T1033,UBLBZ5NTDY,2025-10-19 15:44:03,low,portal,SSO not working for new hires,"onboarding blocked, sso error pops after creds, urgent fix pls, region US, mostly on Windows 11",2025-10-20 08:49:48.558573799,3.1
TK300028,T1035,UF4IO2XM43,2025-06-22 14:23:06,medium,email,OCR results are inconsistent,"ocr keeps jumbling invoice lines, maybe related to new patch?, region US, mostly on iOS17",2025-06-23 08:34:56.923340451,4.4
TK300029,T1020,U3MULOB777,2024-12-16 08:26:14,low,email,QnA responses irrelevant,"qna giving nonsense, not grounded in docs",2024-12-18 10:02:28.571200804,4.7
TK300030,T1002,UTNYFM7VH3,2025-07-29 17:48:39,medium,email,OCR results are inconsistent,"ocr keeps jumbling invoice lines, maybe related to ne (running v4.1.2)w patch?, mostly on Android13",2025-07-30 13:21:26.663047215,4.2
TK300031,T1013,UF4WNSMW5G,2025-05-27 23:12:59,medium,teams,Mobile app crashes offline,"field reps stuc (running v4.1.2)k, app dies when offline mode kicks in, mostly on macOS14",2025-05-29 00:02:48.174036982,4.4
TK300032,T1025,UT8MA1024R,2025-05-24 17:41:17,high,phone,Webhook retries too slow,"delive (running v3.9.5)ry lag insane, partners yelling, any hotfix?, region US pls advise quick",2025-05-25 06:08:01.819541733,3.6
TK300033,T1025,UBZYFGGK82,2025-10-12 17:53:32,low,email,Export to CSV missing columns,"exports incom (running v3.9.5)plete since last push, need cost_center back, region US, mostly on macOS14",2025-10-13 16:25:38.294618855,4.7
TK300034,T1015,UZXWW4HUDS,2025-07-22 17:56:52,low,teams,Mobile app crashes offline,"crash loop in airplane mode, logs show weird stackt (running v3.9.5)race, region LATAM",2025-07-24 00:20:24.597639408,4.0
